altProducts	category	categoryEng	commentCount	globalYn	id	japanYn	koreaYn	logoUrl	memos	name	nameEng	nation	productType	tags
['블루독', ' 빈폴키즈', ' 아가방']	패션	fashion	4	False	121	False	False	TODO	[]	미키하우스	Miki House	일본	GENERAL	['#의류', ' #쇼핑', ' #유아복', ' #아동복']
['로우클래식', ' 비욘드클로젯', ' 럭키슈에트', ' SJYP']	패션	fashion	6	False	120	False	False	TODO	[]	꼼데가르송	Comme des Garçons	일본	GENERAL	['#의류', ' #명품', ' #가디건']
['오뚜기 크루통', ' 샘표 폰타나', ' 인테이크 모닝', ' 청정원 우리쌀']	음식	food	12	False	119	False	False		[]	보노스프	vono	일본	GENERAL	['#컵스프', ' #아지노모토', ' #간편식']
['탑텐', ' 스파오', ' 지오다노']	패션	fashion	0	False	118	False	False	TODO	[]	바운티 헌터	bounty hunter	일본	GENERAL	['#의류', ' #쇼핑']
['코스모스', ' 락앤락', ' 키친아트', ' 스탠리']	생활	life	26	False	117	False	False		[]	써모스	thermos	일본	GENERAL	['#텀블러', ' #보온', ' #보냉', ' #도시락']
['락앤락', ' 스탠리']	생활	life	4	False	116	False	False		[]	모슈 텀블러	mosh	일본	GENERAL	['#텀블러', ' #커피', ' #보냉']
[' 버니나미싱', ' 파프미싱', ' 삼성', ' HP', ' LG']	가전제품	electric	22	False	115	False	False		[]	브라더	brother	일본	GENERAL	['#미싱', ' #프린터', ' #팩스', ' #복합기']
['하만카돈', ' 엘지']	가전제품	electric	6	False	114	False	False		[]	켄우드	kenwood	일본	GENERAL	['#오디오', ' #음향기기', ' #카오디오']
['돌핀', ' 타이맥스', ' 스와치', ' 순토', ' 다이나톤', ' 삼익', ' HP', ' 텍사스인스트루먼트']	패션	fashion	10	False	113	False	False		[]	카시오	casio	일본	GENERAL	['#손목시계', ' #지샥', ' #계산기', ' #악기']
['하만카돈(삼성)', ' 보스', ' 필립스', ' B&O', ' reloop', ' stanton', ' numark']	가전제품	electric	1	False	112	False	False		[]	파이오니아	pioneer	일본	GENERAL	['#스피커', ' #음향기기', ' #DJ']
['돌핀', ' 타이맥스', ' 스와치', ' 순토']	패션	fashion	14	False	111	False	False		[]	지샥	g-shock	일본	GENERAL	['#손목시계', ' #스포츠', ' #방수']
['아이리버', ' 엘지', ' 삼성']	가전제품	electric	3	False	110	False	False		[]	JVC	jvc	일본	GENERAL	['#가전', ' #전자', ' #헤드폰 #헤드셋 #이어폰']
['한독', ' 오딘', ' 블랙이글스', ' 티쏘', ' 스와치', ' 해밀턴', ' 로만손', ' 스위스 밀리터리']	패션	fashion	3	False	109	False	False		[]	시티즌	citizen	일본	GENERAL	['#손목', ' #시계']
['티쏘', ' 스와치', ' 해밀턴', ' 로만손']	패션	fashion	10	False	108	False	False		[]	세이코	seiko	일본	GENERAL	['#손목', ' #시계']
['코웨이', ' 삼성', ' LG']	가전제품	electric	7	False	107	False	False		[]	샤프	sharp	일본	GENERAL	['#공기청정기', ' #전자사전']
['삼성', ' HP', ' LG']	가전제품	electric	31	False	106	False	False		[]	코니카 미놀타	konica minolta	일본	GENERAL	['#복사기', ' #프린터', ' #사무기기']
['대체 어려움', ' 스마트폰', ' 핫셀블라드', ' 라이카']	가전제품	electric	47	False	105	False	False		[]	니콘	nikon	일본	GENERAL	['#카메라', ' #렌즈']
['삼성', ' 엘지', ' WD', ' GE', ' 필립스']	가전제품	electric	11	False	104	False	False		[]	도시바	toshiba	일본	GENERAL	['#노트북', ' #외장하드', ' #대형가전']
['대체 어려움', ' 스마트폰', ' 핫셀블라드', ' 라이카']	가전제품	electric	48	False	103	False	False		[]	캐논	canon	일본	GENERAL	['#카메라']
['필립스', ' 브라운', ' 바디프랜드', ' 하성전자']	가전제품	electric	5	False	102	False	False		[]	파나소닉	panasonic	일본	GENERAL	['#전기면도기', ' #전범기업', ' #뷰티']
['LG', ' 삼성', ' HP', ' 벤큐', ' 뷰소닉']	가전제품	electric	16	False	101	False	False		[]	엡손	epson	일본	GENERAL	['#프린터', ' #프로젝터', ' #복합기', ' #사무기기', ' #앱손']
['위드유어펫', ' 링키', ' 컴피롤러']	반려동물	pet	2	False	100	False	False		[]	파쿠파쿠롤러	pakupaku	일본	GENERAL	['#고양이', ' #강아지', ' #털제거', ' #돌돌이']
['퍼펙트슬릭', ' 더클래스하이브리드코트', ' 마약왁스']	자동차	car	7	False	98	False	False		[]	워터골드cc	watergoldcc	일본	GENERAL	['#자동차코팅제', ' #퀵디테일러', ' #QD']
