품목명	제조·생산지	제조일자(유통기한)	수입중량(kg)	세슘	요오드	판정	파일
냉동 곰보버섯	스페인	(2018.1.10.)	40.0	5	불검출	적합	./tables/123/20180221_기타국가_방사능_검출_현황-page-1-table-1.csv
침출차	캐나다	2019.12.9.	113	12	불검출	적합	./tables/124/20180212_기타국가_방사능_검출_현황-page-1-table-1.csv
차가버섯	러시아연방	(2017.11.26.)	5,730	29	불검출	적합	./tables/124/20180212_기타국가_방사능_검출_현황-page-1-table-1.csv
과 채가공품	프랑스	2019.9.21.	400.0	17	불검출	적합	./tables/124/20180214_기타국가_방사능_검출_현황-page-1-table-1.csv
과 채가공품	프랑스	2019.10.6.	200.0	4	불검출	적합	./tables/124/20180214_기타국가_방사능_검출_현황-page-1-table-1.csv
과 채가공품	미국	2019.8.31.	5.0	13	불검출	적합	./tables/126/20180202_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.1.9.	60.0	48	불검출	적합	./tables/126/20180202_기타국가_방사능_검출_현황-page-1-table-1.csv
과 채가공품	프랑스	2020.3.5.	3,600	5	불검출	적합	./tables/127/20180129_기타국가_방사능_검출_현황-page-1-table-1.csv
"빌베리추출물
(원료성)"	인도	2020.8.1.	90	4	불검출	적합	./tables/127/20180129_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.10.19.	625.0	47	불검출	적합	./tables/127/20180201_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아 연방	2019.11.1.	90.0	11	불검출	적합	./tables/128/20180126_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아 연방	2019.10.31.	90.0	21	불검출	적합	./tables/128/20180126_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	독일	2019.9.14.	691.0	48	불검출	적합	./tables/128/20180125_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	독일	2020.3.19.	3,740	6	불검출	적합	./tables/129/20180122_기타국가_방사능_검출_현황-page-1-table-1.csv
능이버섯	중국	2020.12.19.	320.0	1	불검출	적합	./tables/129/20180123_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.10.19.	625.0	54	불검출	적합	./tables/130/20180118_기타국가_방사능_검출_현황-page-1-table-1.csv
과.채가공품	중국	2019.6.27.	150.0	6	불검출	적합	./tables/130/20180119_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	미국	2019.10.1.	2.0	8	불검출	적합	./tables/131/20180112_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.10.4.	200.0	37	불검출	적합	./tables/131/20180112_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.11.19.	400.0	32	불검출	적합	./tables/131/20180115_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	이탈리아	2020.4.30.	10.0	45	불검출	적합	./tables/133/20180103_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.11.4.	100.0	35	불검출	적합	./tables/133/20180103_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	이탈리아	2020.4.30.	19.0	219	불검출	부적합	./tables/133/20180103_기타국가_방사능_검출_현황-page-1-table-1.csv
블루베리	폴란드	2019.10.25.	900	4	불검출	적합	./tables/133/20180105_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.10.19.	625	52	불검출	적합	./tables/133/20180105_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.10.19.	625	50	불검출	적합	./tables/133/20180105_기타국가_방사능_검출_현황-page-1-table-1.csv
블루베리	세르비아	2019.7.22.	780	12	불검출	적합	./tables/133/20180105_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	벨기에	2019.8.31.	64.5	50	불검출	적합	./tables/133/20180105_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	오스트리아	2019.10.10.	115.2	34	불검출	적합	./tables/133/20180105_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.12.4.	100	7	불검출	적합	./tables/133/20180105_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	프랑스	2020.2.1.	1,440	3	불검출	적합	./tables/134/20171229_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.12.3.	65	44	불검출	적합	./tables/134/20171229_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	프랑스	2019.8.21.	200.0	22	불검출	적합	./tables/134/20180102_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	독일	2020.3.19.	1,311	14	불검출	적합	./tables/135/20171226_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	프랑스	2019.8.4.	813.0	2	불검출	적합	./tables/135/20171222_기타국가_방사능_검출_현황-page-1-table-1.csv
