base_price	delivery_expected_date	delivery_type	discount_rate	href	is_soldout	item_id	name	price	product_id	rating	rating_count	vendor_item_id	brand_name	breadcrumb
27,900	9/16 도착 예정		3%	/vp/products/263598003?itemId=826390783&vendorItemId=5101187751		826390783	롯데 엔네이처로스팜6호(특선)x 1세트 / 추석선물세트	26,900	263598003			5101187751	없음	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	9/16 도착 예정			/vp/products/282761717?itemId=897580811&vendorItemId=5253035056		897580811	별도표기 추석선물세트 추석선물 명절선물 선물세트, 광천김(대)	16,410	282761717			5253035056	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	9/16 도착 예정			/vp/products/282763070?itemId=897584043&vendorItemId=5253036564		897584043	별도표기 추석선물세트 추석선물 명절선물 선물세트, 광천김(대)	16,410	282763070			5253036564	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	9/16 도착 예정			/vp/products/282763070?itemId=897584028&vendorItemId=5253034587		897584028	별도표기 추석선물세트 추석선물 명절선물 선물세트, 브렌치볼텀블러	16,410	282763070			5253034587	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
20,060			9%	/vp/products/177566349?itemId=507927789&vendorItemId=4300952582		507927789	롯데햄 카놀라유 1호 선물세트 쇼핑백포함 선물세트도매/햄선물세트/식품선물세트/식용유선물세트/대량구매/명절선물/기념품/추석선물/설선물/사은품, 단일 수량	18,240	177566349			4300952582	롯데햄	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
29,900	내일(금) 9/6 도착 보장	로켓배송	43%	/vp/products/72831918?itemId=242800965&vendorItemId=3619562077		242800965	즙쟁이 오직 유기농 노니즙, 70ml, 30개입	17,000	72831918	4.0	(152)	3619562077	즙쟁이	[('/', '쿠팡 홈'), ('/np/categories/383370', '실버스토어'), ('/np/categories/383573', '환자식/건강식품'), ('/np/categories/383582', '건강즙'), ('/np/categories/383598', '기타건강즙')]
	화요일 9/10 도착 예정			/vp/products/282473627?itemId=896797867&vendorItemId=5251735421		896797867	별도표기 [추석명절선물모음]추석선물/명절선물/선물세트[주안], 프렌치불텀블러	15,530	282473627			5251735421	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
				/vp/products/177437553?itemId=507426671&vendorItemId=4588562679		507426671	동원 더참치 선물세트 쇼핑백포함 선물세트도매/참치선물세트/식품선물세트/식용유선물세트/대량구매/명절선물/기념품/추석선물/설선물/사은품, 단일 수량	70,370	177437553			4588562679	동원FNB	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/134158809?itemId=394090228&vendorItemId=3959009247		394090228	추석선물세트 은담 한과 선물세트 명절 추석선물세트, 선택05 선물세트5호 죽서루	120,300	134158809			3959009247	(주)담은청	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	화요일 9/10 도착 예정			/vp/products/286547157?itemId=908496543&vendorItemId=5274540152		908496543	명작 견과류선물세트/추석선물세트/명절선물세트/추석명절선물세트/프리미엄선물세트/견과류선물세트/슈퍼퓨드선물세트, 명작21호+쇼핑백	56,600	286547157			5274540152	상세페이지표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	화요일 9/10 도착 예정			/vp/products/286547405?itemId=908497249&vendorItemId=5274541395		908497249	명품 견과류선물세트/추석명절세트/추석선물세트/명절선물세트/추석명절선물세트/프리미엄견과류, 명품1호+쇼핑백	70,400	286547405			5274541395	상세페이지표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	화요일 9/10 도착 예정			/vp/products/294314808?itemId=928726433&vendorItemId=5305695292		928726433	추석선물세트 추석선물 명절선물 선물세트, 단품	17,320	294314808			5305695292	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
23,000	화요일 9/10 도착 예정		17%	/vp/products/289314451?itemId=915856748&vendorItemId=5285216357		915856748	사조해표 사조참치 6호 명절선물 추석선물	19,000	289314451			5285216357	사조	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
