uid	user_name	helpful_count	write_count
113378436	임*준	0	4
106431620	김*일	3	44
104858759	김*우	0	133
27395209	방*희	0	93
112592010	장*호	12	137
4981898	박*인	13	194
3015826	박*태	1	2
35652756	박*희	3	105
11666581	양*혜	1	8
57279640	권*연	2	33
115475612	송*호	0	18
110363805	오*식	0	13
1442976	윤*현	0	7
918690	한*애	0	4
3802275	안*희	9	15
36570278	이*주	5	71
525478	최*림	0	132
114164913	노*완	0	3
25822389	윤*정	0	197
787638	정*주	4	25
19137720	김*정	0	3
3146937	최*희	47	62
101319867	조*연	220	322
54265023	배*식	64	38
525503	소*화	15	15
263362	김*은	0	112
59376834	주*정	40	161
110494917	장*정	0	9
100795591	최*	5	2
105514184	조*철	14	264
107611337	박*령	0	63
25953489	이*화	35	157
81003730	정*연	3	2
105907416	박*민	0	93
113378520	이*솔	2	85
110232800	임*정	1	25
111543522	이*숙	0	19
101188840	이*영	72	346
22545641	최*영	1	68
14288113	김*숙	13	274
10093815	손*경	0	68
1311993	김*심	80	246
113771769	조*환	0	5
18089209	김*연	0	30
105383165	박*현	3	27
14943486	최*정	47	56
11928832	이*희	0	15
100271366	박*희	12	167
263431	이*랑	0	3
106562825	김*곤	1	230
104596745	박*경	24	356
106300684	I*R	1	43
22152463	김*민	160	473
100402450	윤*균	7	49
104727831	박*영	0	50
918811	정*주	0	12
100402463	라*자	0	5
1443105	궁이언니	16	74
106562854	방*미	0	40
75629863	유*영	18	111
3015977	김*정	28	94
108791087	강*화	1	12
51381552	이*근	1	67
21234994	홍*희	0	4
59376948	김*경	5	306
109053237	김*수	5	35
2491702	정*경	4	16
109970742	이*택	0	3
14026040	김*준	42	90
100533560	정*이	156	411
74057029	김*현	3	27
19400016	쑤윤남매	0	25
113771857	정*진	0	6
263505	조*랑	0	11
107873621	박*선	0	431
107087189	김*자	0	8
106562903	김*수	0	101
112330075	김*지	20	120
3409243	남*정	17	82
5113182	오*경	4	157
19531102	고*희	0	36
34342240	정*진	1	1012
40633707	시후야	65	662
2360684	정*형	15	42
2884976	김*선	8	41
117572978	고*영	0	9
18089331	김*민	0	18
49546622	최*영	0	7
5244294	김*선	1	79
107218313	이*명	41	78
104465803	장*미	0	307
112461206	박*광	0	13
108266907	C*E	0	3
100271515	김*일	3	66
105776541	황*군	41	103
105907611	조*상	0	37
106562975	이*헌	8	95
108529061	굳은심지	21	100
394666	임*비	10	98
8258995	권*우	0	87
114427317	ded	0	28
1443257	김*숙	2	27
27788733	고*은	8	99
110233022	최*아	11	14
45352391	전*숙	10	34
100664777	문*학	0	6
32769482	최*철	34	40
113903056	김*경	0	107
31327703	이*연	0	5
114689499	오*나	1	28
109184477	정*영	2	24
100140510	다희맘	10	31
11535839	이*원	11	31
112985568	S*e	0	10
105121250	손*나	0	4
75892197	양*근	0	8
34473448	김*연	16	185
118359528	박*용	0	8
104072683	윤*실	11	264
5113324	김*선	0	6
2491886	전*영	13	161
79431152	김*식	0	93
113903094	박*정	0	2
19531257	고*현	11	30
115213821	팡팡펑팡팡	77	98
12977662	비니짱	42	17
51643902	박*식	0	64
101582336	박*장	3	19
108135933	김*석	0	200
120063491	김*규	3	7
101189135	이*현	19	147
114165268	임*희	0	35
7472660	서*환	0	3
113772052	L*N	3	37
116786712	김*정	29	241
58459675	B* 	0	124
18613792	김*선	27	48
100271650	성*석	136	1112
17303081	장*영	0	14
105252394	문*영	1	28
104072747	안*희	5	53
104990251	박*식	22	133
58983981	정*재	16	569
4851247	또요미엄마	5	80
111150642	김*주	0	17
108529202	윤*희	0	2
106563127	강*규	166	179
656953	임*연	8	210
7210553	고*은	29	13
22152763	백*자	14	68
11667010	김*진	18	30
101189189	김*영	7	105
21890632	왕*진	0	228
263758	조*진	25	31
6948433	권*수	2	14
26216017	곽*영	15	50
106563155	임*숙	0	1
8652375	김*	0	5
111806042	장*서	3	14
9176667	이*숙	2	9
48498267	황*경	1	300
114165341	조*보	1	17
37619295	한*희	0	57
13108832	지*정	75	672
13764193	이*호	0	14
107087457	오*택	14	165
117573219	정*국	0	5
5899877	김*진	16	25
104203879	윤*선	11	54
35260009	오*미	24	41
110495341	박*수	2	175
80741997	이*용	0	41
37226097	박*희	0	11
114427507	김*배	1	13
60819060	송*애	0	4
38667894	석*우	0	36
60687992	연수	232	517
106038904	전*현	1	84
11798138	유*름	0	647
13895292	김*정	71	306
108660349	김*경	4	38
103024254	정*아	33	87
1705600	박*지	2	31
8128132	조*영	39	173
104990340	황*자	20	220
107480711	손*정	38	205
1836680	한*미	0	24
112723592	유*렬	3	5
12846729	권*진	0	110
27264653	유*연	0	87
103286415	한*잎	19	62
100009616	변*진	24	275
51119759	박*경	0	211
108398226	최*미	9	59
70780563	박*화	43	96
115476116	kkkkk7	1	129
7866005	최*원	0	9
118097561	최*규	0	15
59246236	전*찬	5	76
106038945	강*선	2	23
108267171	임*정	12	147
28575396	최*숙	107	161
108398243	최*영	13	41
106038951	김*정	2	54
110495400	이*숙	0	38
111412910	최*실	1	10
113903280	이*준	0	4
100665010	이*희	5	95
106563251	바다별	23	312
104859314	송*석	0	26
34211512	임*비	3	90
105121471	박*성	0	488
102106816	김*오	0	13
100796102	김*규	0	13
6424268	김*정	20	190
106038994	이*진	0	45
108529365	노*형	0	17
15468247	이*정	3	26
110495450	김*선	0	1
11929307	최*진	0	9
5768922	한*영	2	11
26347229	이*람	348	377
132828	강*미	73	450
6555359	김*리	0	6
61343457	정*숙	2	45
42338021	우*진	63	87
109315814	김*주	1	16
112723687	이*경	3	25
9701094	하랑파파	51	109
103155430	김*지	0	32
104466154	김*수	0	3
61343463	한*숙	32	597
107742959	김*연	1	38
105645808	이*미	3	30
57018096	이*선	625	889
1836786	김*영	3	71
2492149	변*호	3	26
105514744	J*N	0	76
110626558	김*준	3	7
9307906	이*봉	1	17
29361923	임*혜	0	17
8128262	정*영	2	3
6686470	강*경	11	147
108267270	반*옥	0	13
109184775	정*주	10	81
14550791	문*영	49	73
11011853	김*선	0	12
106694429	김*상	0	33
110757661	S*A	0	6
108136224	이*현	1	478
106301218	김*민	1	12
106956584	시*이	5	11
16385832	주*규	2	43
15206189	손*아	27	40
109315891	J*a	0	173
1705785	김*경	4	57
112854843	허*진	0	2
6293309	둥이789	6	49
108267329	촌장	2	88
20318021	송*환	7	47
100140872	김*연	0	105
50988878	j*n	51	510
112985937	이*원	7	51
50071377	오*근	0	143
52954968	강*영	0	26
112854873	공공기관	0	23
108136283	임*원	9	81
17172318	남*호	2	125
29624158	서*희	0	1
9963363	배*용	0	40
26216294	이*영	0	7
112068456	김*정	0	96
56625008	김*을	0	1
5506929	콩콩밍밍	50	210
15075187	박*송	0	15
26478453	정*희	11	20
109184887	이*원	2	116
43779962	봉*호	0	275
103417724	이*준	3	94
2492285	유*정	11	19
5769087	근두운	34	87
11798403	신*욱	0	4
6424453	최*희	3	435
20973447	이*미	26	298
102369159	최*선	1	72
110495627	황*원	8	102
12060555	김*연	0	5
108660622	최*수	0	5
100403089	에비츄맨	46	81
37488530	김*애	3	6
36964251	양*옥	4	76
3409821	김*정	0	191
108529567	김*심	14	69
11536289	송*호	15	69
12584869	장*래	1	14
36964264	김*정	19	263
17827753	조*경	81	50
12847020	강*양	12	58
